id,name_ko,name_en,lat,lng,desc_ko,desc_en,desc_ja
POI001,강남 MICE 관광특구,Gangnam MICE Special Tourist Zone,37.512693,127.0624,"강남은 서울의 중심이자 한국에서 가장 번영한 현대 지역입니다. 이곳에서는 상업, 엔터테인먼트, 쇼핑, 문화, 주거 등 다양한 측면에서 활기찬 도시 생활을 경험할 수 있습니다. 강남은 고층 빌딩의 스카이라인과 고급 상점, 레스토랑, 카페, 백화점이 즐비하여 쇼핑과 미식을 모두 즐길 수 있는 지역입니다. 또한, 유명 클럽과 바가 모여 있어 밤에는 활기찬 엔터테인먼트 문화를 경험할 수 있습니다. 또한, 강남역 근처에는 코엑스몰이 있어 전시, 컨벤션, 행사 등이 자주 개최됩니다.","Gangnam is the center of Seoul and the most prosperous modern area in Korea. Here, you can experience lively urban life in various aspects such as commerce, entertainment, shopping, culture, and residence. Gangnam is an area where you can enjoy both shopping and gourmet food with skyline of high-rise buildings and luxurious shops, restaurants, cafes, and department stores. In addition, famous clubs and bars are gathered, so you can experience a lively entertainment culture at night. In addition, there is COEX Mall near Gangnam Station, and exhibitions, conventions, and events are often held.",江南はソウルの中心地であり、韓国で最も繁栄した近代的なエリアです。商業、娯楽、ショッピング、文化、居住など、あらゆる面で活気あふれる都市生活を体験できます。高層ビルのスカイラインや高級ショップ、レストラン、カフェ、デパートが立ち並び、ショッピングとグルメの両方を楽しめるエリアです。また、有名なクラブやバーが集まっており、夜には活気あふれるエンターテイメント文化を体験できます。さらに、江南駅の近くにはCOEXモールがあり、展示会、コンベンション、イベントなどが頻繁に開催されています。
POI003,명동 관광특구,Myeong-dong Special Tourist Zone,37.564061,126.984531,"명동은 무엇보다도 쇼핑의 천국입니다. 약 1km에 달하는 거리를 따라 눈스퀘어, 롯데백화점, 신세계백화점 등 다양한 대형 쇼핑몰과 국내외 유명 브랜드 매장들이 즐비하게 늘어서 있어 패션 감각이 뛰어난 젊은층과 중장년층 쇼핑객 모두를 사로잡습니다. 외국인 관광객도 걱정할 필요가 없습니다. 명동 거리의 상인들은 영어뿐만 아니라 중국어, 일본어도 구사합니다. 화장품 매장과 옷가게에서 흘러나오는 다양한 외국어 소리가 끊이지 않습니다.","Myeongdong is, above all things, a shopping heaven. Along a street about 1km long are a cluster of various large shopping centers including Noon Square, Lotte Department Store, Shinsegae Department Store, and famous store brands from both Korea and abroad, attracting both fashion-savvy youngsters and middle-aged shoppers alike. Foreign tourists need not to fear, either. The merchants on Myeongdong Street not only speak English, but Chinese and Japanese as well. Hence you will hear the sound of various foreign languages flowing ceaselessly from cosmetic stores and clothing shops.",明洞は、何と言ってもショッピング天国です。約1kmの通りには、ヌーンスクエア、ロッテ百貨店、新世界百貨店など、様々な大型ショッピングセンターや、国内外の有名ブランド店が軒を連ね、ファッションに敏感な若者から中高年まで、幅広い層の買い物客で賑わっています。外国人観光客も安心です。明洞通りの商店主たちは、英語だけでなく中国語や日本語も話します。そのため、化粧品店や衣料品店などでは、様々な外国語の会話が絶え間なく聞こえてくるでしょう。
POI006,종로·청계 관광특구,Jongno Cheonggye Special Toruist Zone,37.569549,126.977913,"종로 청계천과 종로 사이, 서린동에서 창신동까지 이어지는 청계천 관광특구에는 젊음의 거리, 광장시장, 세운상가, 조명 가게, 약국 및 의료기기 매장, 배지 가게, 우표 거리, 문구·완구 시장, 아쿠아리움 거리, 신발 시장 등 약 1만 4천 개의 상점이 들어서 있습니다. 인근에는 경복궁, 창덕궁, 창경궁, 덕수궁, 운현궁, 종묘, 인사동 등 현대적인 고층 건물과 전통, 현대, 문화, 그리고 시장이 어우러져 있습니다.","Jongno Cheonggye Special Tourist Zone stretches from Seorin-dong to Changsin-dong between Cheonggyecheon Stream and Jong-ro. It includes Youth Street, Gwangjang Market, Sewoon Electronics Department Store, lighting stores, pharmacy & medical device stores, badge stores, Stamp Street, Stationery · Toy Market, Aquarium Street, Shoes Market, and other markets totalling to approximately 14,000 shops. Nearby attractions include modern high-story buildings as well as Gyeongbokgung, Changdeokgung, Changgyeonggung, Deoksugung, and Unhyeongung Palaces, Jongmyo Shrine, and Insa-dong, merging traditions, modernism, culture, and markets alike.","鍾路清渓観光特区は、清渓川と鍾路の間の西林洞から昌信洞まで広がっています。青春通り、広蔵市場、セウン電子百貨店、照明器具店、薬局・医療機器店、バッジ店、切手通り、文具・玩具市場、アクアリウム通り、靴市場など、約14,000店舗の商店が軒を連ねています。周辺には、近代的な高層ビルをはじめ、景福宮、昌徳宮、昌慶宮、徳寿宮、雲峴宮、宗廟、仁寺洞などがあり、伝統、近代化、文化、市場が融合した魅力的なスポットです。"
POI007,홍대 관광특구,HongDae Culture & Arts Special Tourist Zone,37.556349,126.925495,"홍대는 팝과 인디를 아우르는 한국 문화가 펼쳐지는 곳으로, 특히 밤에 더욱 그렇습니다. 상암 당일치기 여행 계획에 대한 자세한 내용은 K-stars and their K-style에서 곧 확인하실 수 있습니다. 한류에 푹 빠져 있다면, 음악과 예술 문화의 활기가 넘치는 홍대만큼 트렌드세터들의 발자취를 따라가기에 더할 나위 없이 좋은 곳입니다. 혼자든, 친구들과 함께든, 끊임없이 트렌드를 선도하는 대학가는 K-Pop 플레이리스트를 훑어보듯 낮의 탐험에서 밤의 모험으로 쉽게 전환할 수 있는 서울 유일의 장소입니다.","Hongdae is the scene where Korean culture, both pop and indie, manifests, especially at night. More information on planning a Sangam day trip can be soon found at K-stars and their K-style if the Korean Wave has washed over you, then there’s no better place to tread the path of such tastemakers as Hongdae, the live-wire district of music and art culture. Whether you’ve come on your own or with equally eager friends, the ever-trending university area remains the only place in Seoul where you can transitionfrom daytime exploring to nighttime adventures just as easily as you shuffle through your K-Pop playlist.",弘大は、ポップからインディーズまで、韓国文化が特に夜を彩る場所です。上岩への日帰り旅行の計画については、K-stars and their K-style で近日中に詳しくご紹介いたします。韓流ブームにすっかり夢中なら、音楽とアートカルチャーの活気あふれるエリア、弘大ほど、流行の先端を行く人々が集まる場所はありません。一人で訪れても、同じように熱心な友人と訪れても、常に話題の大学街である弘大は、K-POPのプレイリストをシャッフルするのと同じくらい気軽に、日中の散策から夜の冒険へと移行できるソウルで唯一の場所です。
POI008,경복궁,Gyeongbokgung Palace,37.5759,126.9768,"경복궁은 조선 왕조의 궁궐 중 최초이자 가장 큰 궁궐이었습니다. 1395년에 건립된 경복궁은 새롭게 수도로 정한 서울(당시 한양)의 중심부에 위치하여 조선 왕조의 주권을 상징했습니다. 경희궁, 덕수궁, 창경궁, 창덕궁과 함께 5대 궁궐 중 가장 큰 규모를 자랑하는 경복궁은 조선의 정궁 역할을 했습니다.","Gyeongbokgung Palace was the first and largest of the royal palaces built during the Joseon Dynasty. Built in 1395, Gyeongbokgung Palace was located at the heart of the newly appointed capital of Seoul (then known as Hanyang) and represented the sovereignty of the Joseon Dynasty. The largest of the Five Grand Palaces (the others being Gyeonghuigung Palace, Deoksugung Palace, Changgyeonggung Palace, Changdeokgung Palace), Gyeongbokgung served as the main palace of the Joseon Dynasty.",景福宮は、朝鮮王朝時代に建てられた最初の王宮であり、最大の王宮でした。1395年に建立された景福宮は、新首都ソウル（当時は漢陽と呼ばれていました）の中心に位置し、朝鮮王朝の統治権を象徴していました。五大宮（他の2つは慶熙宮、徳寿宮、昌慶宮、昌徳宮）の中で最大の規模を誇り、朝鮮王朝の正宮として機能しました。
POI010,보신각,Bosingak,37.56982577,126.983572,"종로구 종로2가에 위치한 종루 보신각은 옛 동종(보물 2호)이 있던 자리입니다. 종에 균열이 생겨 종을 울릴 수 없게 되어 현재는 용산 국립중앙박물관에 소장되어 있습니다. 현재 보신각에 걸려 있는 종은 국민 모금으로 새로 주조된 복제품입니다. 1985년 8월 14일에 설치되었고, 다음 날인 8월 15일에 처음으로 울렸습니다. 보신각은 한국의 대표적인 제야 타종 행사가 열리는 곳으로, 매년 12월 31일 자정에 33번 타종합니다.","Bosingak Pavilion, a bell tower located in Jongno 2-ga, Jongno-gu, was the original site of the Old Bronze Bell (Treasure No.2). Due to cracks that rendered the bell unringable, it is now housed at the National Museum of Korea in Yongsan. The current bell hanging in Bosingak Pavilion is a newly cast replica, funded through public donations. It was installed on August 14, 1985, and first rung the following day, August 15. Bosingak Pavilion is renowned for hosting Korea’s iconic New Year’s Eve bell-ringing ceremony, where the bell is struck 33 times at midnight on December 31.",鍾路区鍾路2街にある鐘楼「普信閣」には、宝物第2号に指定されている古銅鐘が元々設置されていました。亀裂のため鳴らすことができず、現在は龍山の国立中央博物館に収蔵されています。現在普信閣に吊るされている鐘は、一般からの寄付によって新たに鋳造されたレプリカで、1985年8月14日に設置され、翌15日に初めて鳴らされました。普信閣は、12月31日の午前0時に33回撞かれる、韓国の象徴的な除夜の鐘の儀式が行われる場所として知られています。
POI011,서울 암사동 유적,Amsa Prehistoric Settlement Site,37.55906143,127.1306007,"암사동 선사시대 취락지는 신석기 시대 한국의 모습을 알아볼 수 있는 역사 유적지입니다. 암사동 선사시대 취락지는 암사에서 출토된 고대 유물을 전시하는 두 개의 전시관과 기원전 5,000년 선사 시대 사람들의 삶에 대한 교육적인 전시관을 갖추고 있습니다. 암사동에서는 탄화도토리, 어망추, 석기 등이 출토되었습니다. 오랜 세월에 걸친 발굴을 통해 25개의 움막 터가 발견되었고, 현재까지 총 9개의 움막이 복원되었습니다.","The Amsa-dong Prehistoric Settlement Site is a historic site where visitors can learn about Korea during the Neolithic era. The site has two exhibition halls with displays of ancient artifacts excavated at Amsa, and with educational displays about the lives of pre-historic people who lived during 5,000 BCE. Carbonized acorns, fishing net weights, and stone tools have been excavated at Amsa. Twenty five hut sites have been uncovered during excavations throughout the years and a total of nine huts have been restored to date.​",岩寺洞先史集落遺跡は、新石器時代の韓国について学ぶことができる史跡です。敷地内には2つの展示室があり、岩寺で出土した古代遺物の展示と、紀元前5000年頃に暮らしていた先史時代の人々の生活に関する教育展示が行われています。岩寺では、炭化したドングリ、漁網の錘、石器などが出土しています。長年にわたる発掘調査で25の小屋跡が発見され、現在までに合計9つの小屋が復元されています。
POI012,창덕궁·종묘,Changdeokgung Palace & Jongmyo Shrine,37.5705064,126.9937799,"창덕궁은 서울에서 두 번째로 유네스코 세계문화유산에 등재된 궁궐입니다. 동아시아 궁궐 건축사에서 빼어난 아름다움과 주변 자연환경과의 훌륭한 조화를 인정받아 대표적인 궁궐로 선정되었습니다. 창덕궁은 1405년 태종에 의해 창건되었습니다.
종묘는 조선 왕조 역대 왕과 왕비의 제사를 지내는 왕실 사당입니다. 왕족의 위패를 모시는 곳이기 때문에 궁궐처럼 화려하기보다는 엄숙하고 신성한 분위기를 자아냅니다. 종묘의 간소하고 우아한 건물들은 16세기부터 원형을 충실히 보존하고 있습니다.","Changdeokgung Palace is the second UNESCO World Heritage Site in Seoul. It was selected as a representative palace for its notable beauty in the history of palace architecture in East Asia and for its excellent arrangement with the surrounding naturalenvironment. Changdeokgung Palace was built by King Taejong in 1405.
Jongmyo is a royal shrine dedicated to the performance of ancestral rites for the deceased kings and queens of the Joseon Dynasty. Being the place where the royal ancestral tablets are enshrined, Jongmyo's atmosphere is solemn and sacred rather than splendid like the royal palaces. The simple and elegant buildings of this shrine have faithfully kept their original forms since the 16th century.",昌徳宮はソウルで2番目のユネスコ世界遺産です。東アジアの宮殿建築史上、類まれな美しさと周囲の自然環境との優れた調和により、世界遺産に指定されました。昌徳宮は1405年、太宗によって建立されました。宗廟は朝鮮王朝の歴代王と王妃の祖霊を祀る王室の祭祀を行う廟です。王族の位牌を安置する場所であるため、王宮のような華麗さよりも、荘厳で神聖な雰囲気が漂っています。簡素ながらも優美な建築は、16世紀以来、当時の姿を忠実に残しています。
POI015,건대입구역,Konkuk University station,37.54067736,127.0712989,"건국대학교 주변 지역은 음식, 뷰티, 액티비티 등 모든 면에서 최첨단 트렌드와 다양성으로 가득합니다. 가벼운 산책부터 특별한 경험, 그리고 럭셔리한 휴식까지, 다양한 여행 스타일을 경험할 수 있습니다. 한국의 ""지금""을 경험하고 나만의 특별한 서울 여행을 만들어갈 수 있는 곳입니다.","The area around Konkuk University is full of cutting-edge trends and diversity in all food, beauty, and activities. It matches a wide range of travel styles, from casual walking to extraordinary experiences to luxurious time to relax. It is a place where you can experience the ""now"" of Korea and make your own special trip to Seoul come true.",建国大学周辺は、食、美容、アクティビティなど、あらゆる面で最先端のトレンドと多様性に溢れています。気軽な散策から非日常体験、そして贅沢なリラックスタイムまで、幅広い旅のスタイルにマッチします。韓国の「今」を体感し、あなただけの特別なソウル旅を実現できる場所です。
POI017,고속터미널역,Express Bus Terminal station,37.50593889,127.0046061,"고속버스터미널역 터미널 지역은 한국에서 경험할 수 있는 모든 음식, 아름다움, 그리고 다양한 액티비티를 갖춘 종합 관광 허브입니다. 짧은 시간 동안이라도 고품격 '한국다움'을 만끽하고 싶은 분들에게 완벽한 지역으로, 다양한 관광객의 니즈를 충족하는 풍부한 콘텐츠를 제공합니다.","Express Bus Terminal station Terminal Area is an all-round tourist hub with all the food, beauty, and activities you can experience today in Korea. It is a perfect area for those who want to enjoy the high quality 'Koreanness' even for a limited time with its rich content to meet the diverse needs of tourists.",高速バスターミナル駅ターミナルエリアは、韓国の食、美しさ、アクティビティなど、あらゆる要素が揃った総合観光拠点です。観光客の多様なニーズに応える豊富なコンテンツを備え、限られた時間でも上質な「韓国らしさ」を堪能したい方に最適なエリアです。
