id,station_id,station_name_ko,station_name_en,station_name_en_trans,station_name_ja
POI003,ST-1668,433. 을지로입구역 2번출구,"433. Euljiro 1-ga Station, Exit 2","433. Euljiro 1-ga Station, Exit 2",433.乙支路入口駅2番出口
POI003,ST-1774,468.웨스틴 조선호텔,468. Westin Chosun Hotel,468. Westin Chosun Hotel,468.ウェスティン朝鮮ホテル
POI003,ST-134,318. 광교사거리 남측,318. South side of Gwanggyo Intersection,318. South side of Gwanggyo Intersection,318. 光橋交差点南側
POI003,ST-126,310. 청계광장 옆,310. Next to Cheonggye Plaza,310. Next to Cheonggye Plaza,310.清渓広場の隣
POI003,ST-136,320. 을지로입구역 4번출구 앞,320. In front of Exit 4 of Euljiro 1-ga Station,320. In front of Exit 4 of Euljiro 1-ga Station,320.乙支路入口駅4番出口前
POI003,ST-1773,467.한국은행,467. Bank of Korea,467. Bank of Korea,467.韓国銀行
POI003,ST-140,324. 신세계백화점 본점 앞,324. In front of Shinsegae Department Store Main Branch,324. In front of Shinsegae Department Store Main Branch,324.新世界百貨店本店前
POI003,ST-147,331. 을지로2가 사거리 북측,331. North side of Euljiro 2-ga intersection,331. North side of Euljiro 2-ga intersection,331.乙支路2街交差点北側
POI003,ST-1435,398. 을지로3가역 3번출구,"398. Euljiro 3-ga Station, Exit 3","398. Euljiro 3-ga Station, Exit 3",398.乙支路3街駅3番出口
POI003,ST-137,321. KEB 하나금융그룹 명동사옥 옆,321. Next to KEB Hana Financial Group's Myeongdong building,321. Next to KEB Hana Financial Group's Myeongdong building,321. KEB花金融グループ明洞社屋の隣
POI003,ST-138,322. 명동성당 앞,322. In front of Myeongdong Cathedral,322. In front of Myeongdong Cathedral,322.明洞大聖堂の前
POI003,ST-2422,3013.서울지방고용노동청 앞,3013. In front of Seoul Regional Employment and Labor Office,3013. In front of Seoul Regional Employment and Labor Office,3013.ソウル地方雇用労働庁前
POI003,ST-2520,4774. 을지로입구역 8번출구,"4774. Euljiro 1-ga Station, Exit 8","4774. Euljiro 1-ga Station, Exit 8",4774.乙支路入口駅8番出口
POI003,ST-2521,4775. 을지로지하쇼핑센터,4775. Euljiro Underground Shopping Center,4775. Euljiro Underground Shopping Center,4775.乙支路地下ショッピングセンター
POI003,ST-2522,4776. 신세계면세점,4776. Shinsegae Duty Free,4776. Shinsegae Duty Free,4776. 新世界免税店
POI003,ST-2527,4791. 명동역9번 출구,4791. Myeongdong Station Exit 9,4791. Myeongdong Station Exit 9,4791.明洞駅9番出口
POI003,ST-2517,4762. 국제빌딩,4762. International Building,4762. International Building,4762. 国際ビル
POI003,ST-2693,4796. 서울시청,4796. Seoul City Hall,4796. Seoul City Hall,4796.ソウル市役所
POI003,ST-1772,466.롯데호텔,466. Lotte Hotel,466. Lotte Hotel,466.ロッテホテル
POI006,ST-181,368. SK 서린빌딩 앞,368. In front of SK Seorin Building,368. In front of SK Seorin Building,368. SKサリンビル前
POI006,ST-1611,458. 광화문역 5번출구,458. Gwanghwamun Station Exit 5,458. Gwanghwamun Station Exit 5,458.光化門駅5番出口
POI006,ST-1432,397. 종묘공영주차장 건너편,397. Across from Jongmyo Public Parking Lot,397. Across from Jongmyo Public Parking Lot,397.ジョンミョ公営駐車場を渡る
POI006,ST-151,335. 종로3가역 15번출구 뒤,335. Behind Exit 15 of Jongno 3-ga Station,335. Behind Exit 15 of Jongno 3-ga Station,335.鍾路3街駅15番出口の後
POI006,ST-145,329. 청계2가 사거리 옆,329. Next to Cheonggye 2-ga intersection,329. Next to Cheonggye 2-ga intersection,329.清渓2街交差点の隣
POI006,ST-336,385. 종각역 5번출구,385. Jonggak Station Exit 5,385. Jonggak Station Exit 5,385.鐘閣駅5番出口
POI006,ST-1372,393. 동대문역 8번 출구,393. Dongdaemun Station Exit 8,393. Dongdaemun Station Exit 8,393.東大門駅8番出口
POI006,ST-1608,455. 종로6가역 버스정류장(동대문 방향),455. Jongno 6-ga Station Bus Stop (Dongdaemun Direction),455. Jongno 6-ga Station Bus Stop (Dongdaemun Direction),455. 鍾路6街駅バス停（東大門方向）
POI006,ST-1812,3415.동대문역6번출구,3415. Dongdaemun Station Exit 6,3415. Dongdaemun Station Exit 6,3415.東大門駅6番出口
POI006,ST-1829,3432.종로2가 사거리,3432. Jongno 2-ga intersection,3432. Jongno 2-ga intersection,3432.鍾路2街交差点
POI006,ST-1809,3412.세운상가,3412. Seun Shopping Mall,3412. Seun Shopping Mall,3412.セウン商店街
POI006,ST-2513,4707. 청계3가 사거리,4707. Cheonggye 3-ga Intersection,4707. Cheonggye 3-ga Intersection,4707.清渓3街交差点
POI007,ST-6,104. 합정역 1번출구 앞,104. In front of Exit 1 of Hapjeong Station,104. In front of Exit 1 of Hapjeong Station,104.ハプジョン駅1番出口前
POI007,ST-2152,493.홍대입구역 6번출구,493. Hongik University Station Exit 6,493. Hongik University Station Exit 6,493.弘大入口駅6番出口
POI007,ST-20,114. 홍대입구역 8번출구 앞,114. In front of Hongik University Station Exit 8,114. In front of Hongik University Station Exit 8,114.弘大入口駅8番出口前
POI007,ST-10,108. 서교동 사거리,108. Seogyo-dong Intersection,108. Seogyo-dong Intersection,108.西橋洞交差点
POI007,ST-2168,3010.홍대입구역 3번출구,3010. Hongik University Station Exit 3,3010. Hongik University Station Exit 3,3010.弘大入口駅3番出口
POI007,ST-2167,3009. 홍대입구역 사거리,3009. Hongik University Station Intersection,3009. Hongik University Station Intersection,3009.弘大入口駅交差点
POI007,ST-2534,4211. 시석빌딩 앞,4211. In front of Siseok Building,4211. In front of Siseok Building,4211. 市石ビル前
POI007,ST-2532,4208. 스타벅스(동교동) 앞,4208. In front of Starbucks (Donggyo-dong),4208. In front of Starbucks (Donggyo-dong),4208.スターバックス（東京洞）前
POI007,ST-18,113. 홍대입구역 2번출구 앞,113. In front of Hongik University Station Exit 2,113. In front of Hongik University Station Exit 2,113.弘大入口駅2番出口前
POI010,ST-132,316. 종각역 1번출구 앞,316. In front of Exit 1 of Jonggak Station,316. In front of Exit 1 of Jonggak Station,316.ジョンガク駅1番出口前
POI010,ST-336,385. 종각역 5번출구,385. Jonggak Station Exit 5,385. Jonggak Station Exit 5,385.鐘閣駅5番出口
POI010,ST-1805,3408.종로타워빌딩,3408. Jongno Tower Building,3408. Jongno Tower Building,3408.鍾路タワービル
POI010,ST-2472,4708. 조계사앞사거리,4708. Jogyesa Temple Intersection,4708. Jogyesa Temple Intersection,4708. 曹渓寺前交差点
POI011,ST-491,1007.암사동 선사유적지,1007. Amsa-dong Prehistoric Site,1007. Amsa-dong Prehistoric Site,1007.アムサドン先史遺跡
POI011,ST-1686,3539. 서원마을,3539. Seowon Village,3539. Seowon Village,3539. 西原村
POI012,ST-153,337. 창경궁 입구,337. Entrance to Changgyeonggung Palace,337. Entrance to Changgyeonggung Palace,337. 昌慶宮の入り口
