id,beauty,drama,food,movie
POI001,241,18,25,14
POI003,102,0,48,1
POI006,0,30,0,17
POI007,13,6,10,1
POI008,2,0,2,0
POI012,1,1,1,0
POI015,0,0,0,1
POI030,1,0,0,0
POI037,0,1,0,0
POI039,6,6,4,0
POI040,1,0,4,4
POI054,0,0,3,3
POI059,0,0,1,0
POI060,4,0,8,0
POI064,0,0,0,8
POI066,4,2,0,3
POI068,38,0,7,0
POI071,5,0,2,1
POI072,0,0,3,0
POI077,0,1,0,9
POI078,0,0,4,0
POI081,1,0,0,0
POI083,29,16,6,0
POI088,5,6,13,2
POI089,0,1,0,3
POI091,3,2,9,15
POI095,0,0,1,0
POI099,1,1,0,2
POI105,0,0,0,2
POI106,0,0,10,0
POI113,1,42,3,0
POI115,2,0,6,0
POI116,0,0,1,0
POI127,1,0,0,0
